title,price,link,image
New ListingBrand New - NVIDIA MSI GeForce RTX 3060 VENTUS 2X 12G OC - In Hand - Ships Fast, 920.00,https://www.ebay.ca/itm/134022995459?hash=item1f34649e03:g:c~oAAOSwUu5iCDN7,https://i.ebayimg.com/thumbs/images/g/c~oAAOSwUu5iCDN7/s-l225.jpg
ASUS ROG STRIX RTX 3060 12GB GDDR6 OC ROG-STRIX-RTX3060-O12G-V2-GAMING LHR, 975.00,https://www.ebay.ca/itm/124893640686?epid=16048605524&hash=item1d143db7ee:g:SvEAAOSws2NhOsiZ,https://i.ebayimg.com/thumbs/images/g/SvEAAOSws2NhOsiZ/s-l225.jpg
ASUS Rog STRIX NVIDIA GeForce RTX 3060 OC Edition Gaming Graphics Card 12GB NEW," 1,100.00",https://www.ebay.ca/itm/363721562510?epid=16048605524&_trkparms=ispr%3D1&hash=item54af7e998e:g:XesAAOSwj-hiBBcB&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJYy4MCwcLSvHuFVGsG3df0i%252Fx7uPSqnDjLhmHUi4ua4AaMhnKIF0CJb0IzrcBGhd4fLPg%252BgoGT0qvg3EKgJIAYTMT4CIU6zR4pECHLMfraGJaGrccsIAJnBHIkP0EF7z2QfvOzzPhrtGqna%252FOC%252BFudOnoCa5PqGOuOs1ifRV5o5IW0nQJs0KIkj9kpKlb9Ps0SWgMnnbKnakLGLlLX68HZfIRfC0U9tfyK7FO3NYrLuh8XIEWr7mnqn7mSl4eWiBvJOQrJARsItCQMwEnbfHBv5VJipTE7373BghxmD4XQKy7oRH0uxarFnkcUbtpsO6WxUmQ5WNK5gjGo5ABISZLyUCAYK8ioJbs1oJVaX627d2SCp9A8uWljfqsHQ4xwVLbbqokQK0GNwjfIgV9aNcDWkd%252BXSor9iV3FM%252FU%252Fiv%252FYypJHhZfUSMjtuJuBdbcFRDoccrkrQqqvdt4EUGDhCxF28xJHBZAauTq6wWuaqxCf0VkYL0qVZQmKX2INzUZUbF8zpdMrspVunlGxm2Tvxv0g4DBnov39lw%252BulUpUYMUshvdytamowdelC%252F6TCSZ6EwUsasdjX7b03QyFQZkV2zft88vroHkR1NbNWrr2E5bYPFnuIEMN3n9dIa0xrxJ6qYIT4qhhfZVOU2AVr3nHk1uL9ILSAjY8%252BXkH0DAw0kuu4o8PEH6Bjj%252BTrRP%252Fp3wlFVWTEDjUmtd2PKldbJZMZ0khZCFNeIyfEDsQ3lFLUnKe%252FugwBEIXUSKVi%252FdnVkzcrZHdTuOmTqqBt2Gfz5FQrqxnGfMoORlrDQOADdNmQNpMpd0%7Cclp%3A2334524%7Ctkp%3ABFBM2IahkN5f,https://i.ebayimg.com/thumbs/images/g/XesAAOSwj-hiBBcB/s-l225.jpg
ASUS NVIDIA GeForce RTX 3060 12GB GDDR6 Graphics Card 🔥✈️🚀SHIPS FAST IN HAND🚀, 949.99,https://www.ebay.ca/itm/185281932182?epid=25047265732&hash=item2b23a9eb96:g:VPQAAOSwjJJh~Y7O,https://i.ebayimg.com/thumbs/images/g/VPQAAOSwjJJh~Y7O/s-l225.jpg
New ListingEVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 Graphics Card (12G-P5-3657-KR), 630.00,https://www.ebay.ca/itm/275164329927?epid=2315640392&hash=item40111277c7:g:e5IAAOSwgmJiBylh,https://i.ebayimg.com/thumbs/images/g/e5IAAOSwgmJiBylh/s-l225.jpg
RTX3060Ti Manli 8GB RTX 3060 Ti LHR High Quality, 862.84,https://www.ebay.ca/itm/373926282300?hash=item570fbe443c:g:oBgAAOSwReBh6HXb,https://i.ebayimg.com/thumbs/images/g/oBgAAOSwReBh6HXb/s-l225.jpg
GIGABYTE NVIDIA GeForce RTX 3060 GAMING OC 12GB GDDR6 Graphics Card, 828.32,https://www.ebay.ca/itm/203823868276?epid=6044638654&hash=item2f74d96974:g:EYQAAOSwO3dhzGGo,https://i.ebayimg.com/thumbs/images/g/EYQAAOSwO3dhzGGo/s-l225.jpg
New ListingGIGABYTE NVIDIA GeForce RTX 3060 GAMING OC 12GB GDDR6 Graphics Card BRAND NEW, 1.26,https://www.ebay.ca/itm/165331406961?epid=24044698913&hash=item267e851071:g:6UEAAOSwt5Fh4NJj,https://i.ebayimg.com/thumbs/images/g/6UEAAOSwt5Fh4NJj/s-l225.jpg
MAXSUN Graphics Card RTX 3060Ti iCraft OC 8GB GDDR6 GPU NVIDIA 256bit .," 1,002.19",https://www.ebay.ca/itm/384729571035?hash=item5993ab5edb:g:KRUAAOSwQU5iBtmo,https://i.ebayimg.com/thumbs/images/g/KRUAAOSwQU5iBtmo/s-l225.jpg
NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 Graphics Card, 659.67,https://www.ebay.ca/itm/384729671659?hash=item5993ace7eb:g:yo0AAOSw9-9iBtsY,https://i.ebayimg.com/thumbs/images/g/yo0AAOSw9-9iBtsY/s-l225.jpg
